SKU,Name,Image,colour1,percent1,colour2,percent2,colour3,percent3
000772104364,"Giant Fire Engine Floor Puzzle -  24 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104364.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,58.0
000772104487,"Magnetic Wooden Letters by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104487.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,23.0,BLUE,18.0,GREEN,13.0
000772104494,"Magnetic Wooden Numbers by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104494.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,22.0,BROWN,17.0,GREEN,14.0
000772104760,"Wooden Dinosaur Magnets by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772104760.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,33.0,BLUE,16.0,GREEN,14.0
000772104876,"Wooden Cutting Food","https://dynamic.indigoimages.ca/gifts/000772104876.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,22.0,ORANGE,21.0,YELLOW,13.0
000772104944,"Take-Along Tool Kit","https://dynamic.indigoimages.ca/gifts/000772104944.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,17.0,GREY/WHITE,16.0,ORANGE,14.0
000772105132,"Sandwich Making Set Wooden Play Food by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772105132.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,25.0,BROWN,20.0,ORANGE,15.0
000772105675,"Melissa & Doug Geometric Stacker","https://dynamic.indigoimages.ca/gifts/000772105675.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,15.0,GREY/WHITE,14.0,PINK,14.0
000772105729,"Melissa & Doug Indigo Exclusive Stacking Train by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772105729.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",RED,21.0,PINK,15.0,GREEN,14.0
000772105828,"Shape Sequence Sorting Set","https://dynamic.indigoimages.ca/gifts/000772105828.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,26.0,GREY/WHITE,21.0,GREEN,15.0
000772107259,"Vehicles Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107259.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,20.0,GREY/WHITE,18.0,YELLOW,15.0
814938013830,"PENCIL POUCH LARGE - GREY STROKES by Indigo","https://dynamic.indigoimages.ca/gifts/814938013830.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,88.0
847881004969,"16 Letter R - Silver","https://dynamic.indigoimages.ca/gifts/847881004969.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,89.0
847881005010,"16 Letter W - Silver","https://dynamic.indigoimages.ca/gifts/847881005010.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,83.0
000772107273,"Zoo Animals Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107273.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREEN,44.0,GREY/WHITE,30.0
000772107303,"Pets Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107303.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",YELLOW,48.0
000772107327,"Sound Puzzle - Musical Instruments by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107327.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,65.0
000772107341,"Melissa & Doug Around the House Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107341.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,26.0,BLUE,20.0,YELLOW,18.0
000772107365,"Around the Fire Station Sound Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107365.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,41.0
000772107754,"Farm Cube Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107754.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,28.0,BROWN,22.0,GREEN,15.0
000772107853,"Folding Horse Stable by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772107853.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,38.0,PINK,29.0,BROWN,18.0
000772111690,"Classic ABC/123 Block Cart by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772111690.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,25.0,PINK,17.0,RED,16.0
000772111706,"Deluxe Magic Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772111706.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,26.0,GREY/WHITE,25.0,BLACK,14.0
000772112727,"Vehicle Sound Blocks by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772112727.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,37.0,BROWN,30.0,GREEN,10.0
000772112802,"Discovery Magic Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772112802.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0,BROWN,20.0,BLACK,7.0
854303003066,"Blue Silicone Train Spoon  by Oogaa","https://dynamic.indigoimages.ca/gifts/854303003066.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,95.0
882709239994,"Like a Boss Travel Mug  by Indigo","https://dynamic.indigoimages.ca/gifts/882709239994.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,50.0,BLACK,45.0
882709277408,"Monogram Espresso Cup  K  by Indigo","https://dynamic.indigoimages.ca/gifts/882709277408.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,72.0,PINK,20.0,BLACK,6.0
000772112826,"Deluxe Wooden Standing Art Easel by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772112826.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,42.0,BLUE,30.0
000772113182,"Melissa & Doug Band-in-a-Box Hum! Jangle! Shake! by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772113182.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,44.0,PINK,21.0,BLUE,10.0
000772113298,"Deluxe Folding Midieval Castle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772113298.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,51.0,BROWN,20.0,PINK,16.0
000772114868,"Easel Paper Roll (18 X 75') by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772114868.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,63.0,BLUE,28.0
000772116237,"Spill-Proof Paint Cups by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772116237.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,46.0,BLUE,24.0,GREEN,8.0
000772116336,"Dinosaur Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772116336.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,37.0,BROWN,20.0,PINK,12.0
000772116374,"Rainbow Stamp Pad by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772116374.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,30.0,GREY/WHITE,24.0,PINK,13.0
000772118965,"Woodland Princess Wooden Jigsaw Puzzle - 24 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772118965.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,45.0
000772120548,"Melissa & Doug Barnyard Animals Large Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772120548.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,35.0,BROWN,23.0,PINK,10.0
000772120555,"Melissa & Doug House Pets Large Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772120555.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,32.0,ORANGE,15.0,GREY/WHITE,14.0
000772120906,"Memory Game by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772120906.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,35.0,GREY/WHITE,25.0,PINK,11.0
000772121026,"Lion - Plush","https://dynamic.indigoimages.ca/gifts/000772121026.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,74.0
882709277446,"Monogram Espresso Cup  D by Indigo","https://dynamic.indigoimages.ca/gifts/882709277446.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0,PINK,24.0,BLUE,5.0
882709277477,"Monogram Espresso Cup  B by Indigo","https://dynamic.indigoimages.ca/gifts/882709277477.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0,PINK,22.0,BROWN,5.0
882709277514,"Monogram Espresso Cup  G by Indigo","https://dynamic.indigoimages.ca/gifts/882709277514.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,72.0
000772121033,"Tiger Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121033.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,51.0,GREY/WHITE,23.0,ORANGE,10.0
000772121057,"Melissa & Doug Horse Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121057.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,41.0,GREY/WHITE,23.0,GREEN,23.0
000772121064,"Giant Giraffe Plush","https://dynamic.indigoimages.ca/gifts/000772121064.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,40.0,GREY/WHITE,31.0
000772121101,"Melissa & Doug Dalmatian Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121101.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,84.0
000772121170,"Melissa & Doug Black Lab Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121170.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,62.0,BLACK,33.0
000772121217,"Melissa & Doug Dragon Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121217.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREEN,38.0
000772121224,"Penguin Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121224.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,40.0,BLACK,33.0
000772121279,"Melissa & Doug Sea Turtle Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121279.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0
000772121385,"Jumbo Brown Teddy bear - Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121385.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,69.0
000772121491,"Melissa & Doug T-Rex Plush","https://dynamic.indigoimages.ca/gifts/000772121491.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,47.0,GREEN,22.0,GREY/WHITE,17.0
000772121842,"Melissa & Doug Zebra Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121842.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,53.0,BLACK,31.0
000772121859,"Elephant - Plush by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121859.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,65.0
000772121910,"Monster Bowling by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121910.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,24.0,YELLOW,16.0,ORANGE,13.0
882709277545,"Monogram Espresso Cup  W by Indigo","https://dynamic.indigoimages.ca/gifts/882709277545.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,68.0,PINK,21.0,BLACK,7.0
882709277576,"Monogram Espresso Cup  Z  by Indigo","https://dynamic.indigoimages.ca/gifts/882709277576.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,69.0,PINK,21.0,BROWN,4.0
882709277613,"Monogram Espresso Cup  U by Indigo","https://dynamic.indigoimages.ca/gifts/882709277613.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,69.0,PINK,24.0
000772121934,"SCATCH & SNIFF FRUITVILLE STICKER PAD by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772121934.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,27.0,GREEN,20.0,GREY/WHITE,18.0
000772123716,"Multi Activity Table by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772123716.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,43.0,GREEN,23.0,BROWN,15.0
000772124072,"Happy Handle Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124072.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,23.0,PURPLE,19.0,PINK,15.0
000772124096,"Vehicles Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124096.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,30.0,BROWN,24.0,PINK,19.0
000772124102,"Horses Stamp Set","https://dynamic.indigoimages.ca/gifts/000772124102.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,34.0,BROWN,24.0,PINK,13.0
000772124157,"Butterfly and Hearts Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124157.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,43.0
000772124188,"Wooden Princess Stamp Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124188.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,26.0,ORANGE,21.0,PINK,18.0
000772124249,"Stamp-A-Scene fairy Garden by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772124249.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,44.0
000772124355,"Nesting & Sorting Garages & Cars","https://dynamic.indigoimages.ca/gifts/000772124355.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,19.0,BROWN,17.0,BLUE,16.0
000772125055,"Doorbell House by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125055.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0
000772125307,"Deluxe Puppet Theatre by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125307.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,26.0,BLACK,18.0,GREY/WHITE,13.0
000772125413,"Self- Correcting Alphabet Letter Puzzles by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125413.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,36.0,PINK,28.0,ORANGE,11.0
882709291343,"Zebra Foldover Pouch by Indigo","https://dynamic.indigoimages.ca/gifts/882709291343.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLACK,50.0,PINK,28.0,GREY/WHITE,13.0
882709293231,"Flock of Birds Ivory Infinity Loop Scarf - Ivory by Indigo","https://dynamic.indigoimages.ca/gifts/882709293231.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,69.0,PINK,22.0,BLACK,5.0
882709298830,"Copper Bowl by Indigo","https://dynamic.indigoimages.ca/gifts/882709298830.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",ORANGE,73.0
882709299608,"Slate Coasters  Square  by Indigo","https://dynamic.indigoimages.ca/gifts/882709299608.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,67.0
000772125420,"Self-Correcting Number Puzzles by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125420.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,33.0,PINK,30.0,BROWN,10.0
000772125536,"Chef Puppet by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125536.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,47.0
000772125642,"Latches Barn by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772125642.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,37.0,BROWN,21.0,PINK,15.0
000772126083,"Wooden Sushi Slicing Playset by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772126083.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",RED,26.0,BROWN,17.0,GREY/WHITE,15.0
000772126106,"Wooden Kitchen Accessory Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772126106.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,38.0
000772127585,"Big Rig Building Truck Wooden Play Set by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127585.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,36.0,PINK,21.0,RED,11.0
000772127592,"Mega Race Car Carrier by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127592.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,26.0,PINK,18.0,BROWN,15.0
000772127820,"Alphabet Nesting & Stacking Blocks by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127820.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,27.0,GREEN,20.0,GREY/WHITE,12.0
000772127844,"Deluxe Jumbo Cardboard Blocks (40 pc) by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127844.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,36.0
000772127905,"Melissa & Doug Wooden Double-Sided Tabletop Easel by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772127905.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,44.0,GREY/WHITE,32.0
000772128735,"Melissa & Doug Safari Floor Puzzle 100 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772128735.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,40.0
000772129336,"Construction Site Jigsaw (12pc) by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772129336.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,39.0
882709303015,"MONOGRAM MUG  S by Indigo","https://dynamic.indigoimages.ca/gifts/882709303015.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,78.0
882709303084,"MONOGRAM MUG  Z by Indigo","https://dynamic.indigoimages.ca/gifts/882709303084.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,79.0
882709305880,"Zodiac Pouch - Virgo by Indigo","https://dynamic.indigoimages.ca/gifts/882709305880.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,87.0
000772129367,"Prehistoric Sunset Wooden Jigsaw Puzzle - 24 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772129367.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,19.0,GREEN,13.0,YELLOW,12.0
000772129404,"See & Spell by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772129404.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,31.0,PINK,21.0,BLUE,16.0
000772130189,"Wooden Lacing Shoe by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130189.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",RED,33.0,PINK,23.0,GREY/WHITE,21.0
000772130424,"First Bead Maze by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130424.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,23.0,YELLOW,19.0,GREY/WHITE,17.0
000772130486,"Picnic Basket Fill & Spill by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130486.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,27.0,YELLOW,24.0,GREY/WHITE,14.0
000772130493,"Pretty Purse Fill and Spill by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130493.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,30.0,GREY/WHITE,18.0,BLACK,17.0
000772130769,"Stacking Construction Vehicles by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130769.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",ORANGE,27.0,GREY/WHITE,19.0,BROWN,15.0
000772131773,"Wooden Vehicles and Traffic Signs by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772131773.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,39.0,BROWN,23.0,GREEN,14.0
000772132732,"See-Inside Numbers Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772132732.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,54.0
000772133753,"Melissa & Doug Jungle Friends Large Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772133753.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,28.0,GREY/WHITE,27.0,GREEN,22.0
000772133845,"Sea Creatures Peg Puzzle - 6 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772133845.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,50.0,GREY/WHITE,21.0,PINK,8.0
